x,y,radius
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.2
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
0.125,1.796,0.0
